City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
319,Sokolovskoye,RU,45.2583,40.6797,71.1,86,100,8.32,light rain
320,Posevnaya,RU,54.3006,83.3297,80.1,53,5,13.09,clear sky
321,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.91,88,4,9.48,clear sky
322,Guaratinga,BR,-16.5667,-39.5667,60.67,96,7,3.04,clear sky
323,Nishihara,JP,26.1842,127.7558,89.65,79,40,12.66,scattered clouds
324,Longyearbyen,SJ,78.2186,15.6401,46.24,76,75,4.61,broken clouds
325,Bosaso,SO,11.2842,49.1816,93.18,36,0,36.82,clear sky
326,Majene,ID,-3.5403,118.9707,79.83,82,100,7.34,overcast clouds
327,Moanda,GA,-1.5575,13.2178,64.63,62,97,2.68,overcast clouds
328,Gillette,US,44.2911,-105.5022,58.1,78,0,5.01,clear sky
329,Antalaha,MG,-14.9003,50.2788,72.57,75,81,13.09,light rain
330,Richmond,US,37.5538,-77.4603,63.66,95,0,3.44,clear sky
331,Watsa,CD,3.0372,29.5355,69.22,87,93,2.57,overcast clouds
332,Iwanai,JP,42.9744,140.5089,76.93,83,100,1.88,overcast clouds
333,Tyukhtet,RU,56.5389,89.3011,73.51,37,0,11.72,clear sky
334,Grand Gaube,MU,-20.0064,57.6608,74.37,69,1,8.99,clear sky
335,Murgab,TM,37.4966,61.9714,94.87,29,0,6.91,clear sky
336,Potiskum,NG,11.7091,11.0694,78.26,63,99,10.92,overcast clouds
337,Ndele,CF,8.4109,20.6473,72.55,93,98,3.6,light rain
338,Chumikan,RU,54.7183,135.315,56.3,91,100,7.02,overcast clouds
339,Kongsvinger,NO,60.1905,11.9977,57.87,47,29,4.76,scattered clouds
340,Chlumec,CZ,50.6997,13.9396,62.74,87,56,10.22,broken clouds
341,Maningrida,AU,-12.0667,134.2667,79.61,50,6,7.81,clear sky
342,Ilhabela,BR,-23.7781,-45.3581,68.11,71,67,5.01,broken clouds
343,Maragogi,BR,-9.0122,-35.2225,73.26,84,40,10.25,scattered clouds
344,Kungurtug,RU,50.5994,97.5228,66.94,48,92,2.26,overcast clouds
345,Caconda,AO,-13.7333,15.0667,59.79,39,0,3.06,clear sky
346,Darhan,MN,49.4867,105.9228,56.62,87,100,9.82,overcast clouds
347,Klyuchi,RU,52.2667,79.1667,86.23,31,2,14.83,clear sky
